run,RS,NSGA-II,NSGA-II-D
1,0.1838474563319435,0.5094775460258832,0.4359889471784096
2,0.26633729226442426,0.40125035213005705,0.4413374616351241
3,0.1337691018009575,0.32490402932602713,0.2611735647556968
4,0.2642009337789152,0.16478521311121258,0.42057349138471123
5,0.21125084947855297,0.38268522204604916,0.3459192636131222
6,0.1729813071245679,0.4983580639954408,0.29903951299020237
7,0.3984480632229245,1,0.3845018859119417
8,0.23449251139906546,0.45042309587356755,0.1903105408542028
9,0.23975555763791975,0.4176567405392172,0.39706037732335303
10,0.6168409127662813,0.236010826703934,0.26625738926749803
