Attribute,Value
Number Critical Scenarios,89
Number Critical Scenarios (duplicate free),89
Number All Scenarios,2000
Number All Scenarios (duplicate free),2000
Number Best Critical Scenarios,9
Number Best Critical Scenarios (duplicate free),9
Number Best Scenarios,13
Number Best Scenarios (duplicate free),13
Ratio Critical/All scenarios,0.04
Ratio Critical/All scenarios (duplicate free),0.04
Ratio Best Critical/Best Scenarios,0.69
Ratio Best Critical/Best Scenarios (duplicate free),0.69
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.998788 -1.063746]
Input value of critical (first of population of interest),[0.302621 0.960542 4.815857]
